Geography type,State,County,Township
State,Alabama,,
State,Alaska,,
State,Arizona,,
State,Georgia,,
State,Louisiana,,
State,Mississippi,,
State,South Carolina,,
State,Texas,,
State,Virginia,,
County,California,Kings,
County,California,Monterey,
County,California,Yuba,
County,Florida,Collier,
County,Florida,Hardee,
County,Florida,Hendry,
County,Florida,Hillsborough,
County,Florida,Monroe,
County,New York,Bronx,
County,New York,Kings,
County,New York,New York,
County,North Carolina,Anson,
County,North Carolina,Beaufort,
County,North Carolina,Bertie,
County,North Carolina,Bladen,
County,North Carolina,Camden,
County,North Carolina,Caswell,
County,North Carolina,Chowan,
County,North Carolina,Cleveland,
County,North Carolina,Craven,
County,North Carolina,Cumberland,
County,North Carolina,Edgecombe,
County,North Carolina,Franklin,
County,North Carolina,Gaston,
County,North Carolina,Gates,
County,North Carolina,Granville,
County,North Carolina,Greene,
County,North Carolina,Guilford,
County,North Carolina,Halifax,
County,North Carolina,Harnett,
County,North Carolina,Hertford,
County,North Carolina,Hoke,
County,North Carolina,Jackson,
County,North Carolina,Lee,
County,North Carolina,Lenoir,
County,North Carolina,Martin,
County,North Carolina,Nash,
County,North Carolina,Northampton,
County,North Carolina,Onslow,
County,North Carolina,Pasquotank,
County,North Carolina,Perquimans,
County,North Carolina,Person,
County,North Carolina,Pitt,
County,North Carolina,Robeson,
County,North Carolina,Rockingham County,
County,North Carolina,Scotland,
County,North Carolina,Union,
County,North Carolina,Vance,
County,North Carolina,Washington,
County,North Carolina,Wayne,
County,North Carolina,Wilson,
County,South Dakota,Shannon,
County,South Dakota,Todd,
Township,Michigan,Allegan,Clyde Township
Township,Michigan,Saginaw,Buena Vista Township